,automotive industry,auto insurance,second hand car,mobile phone,mercedes benz,electrical appliance,wifi,clothing,shoes,underwear,electricity,energy,gasoline,tobacco,video game,t-shirt,natural gas,health care,furniture,interior design,ebook,novel,footwear,lingerie,real estate,life insurance,dessert,potato,coffee,bottled water,margarine,offal,juice,jam,veterinarians,amusement park,television,hairdresser,timber,travel agency,nightclub,fur,vitamins,petroleum,beer,lawyer,renovation,restaurant
2009-10-18,22.935226819888754,40.63416914260155,118.09971928288674,58.46031600225957,54.10953512212811,0.0,53.762614408544046,92.72061015502625,115.1278563878692,30.97218769037418,51.80886857802766,50.40719142282006,37.65559157502166,0.0,106.28575965570151,30.7534745882556,38.375917736371036,18.48607973038228,55.60576055082186,63.44276782076037,72.18889285770057,34.407495628017855,9.56947414412251,27.911143549097346,70.41623180473921,5.895891031428063,31.310962748142188,75.52786716606879,56.9541981456044,0.0,0.0,0.0,21.26759410880252,37.543132878151255,31.13057592460729,20.074725658064967,100.66998141573133,45.558183237372276,23.91811444164107,14.01479735670205,30.88480339873663,0.0,48.17487068632183,29.921515486725667,38.24925773413579,55.66306655818069,5.2809622305729125,73.10461201684677
2009-10-25,9.656937608374212,0.0,92.11778104065165,58.46031600225957,68.22506602355284,0.0,58.848267122865785,81.41321867270598,99.00995649356751,19.22411649747363,44.10755027588842,46.4066206749772,34.15274584711267,0.0,108.08721320918796,29.67440530445716,27.748740517068285,8.216035435725457,54.31260332870973,71.37311379835542,81.9923227519562,0.0,0.0,18.090556004044576,63.62912512476434,10.978555713693634,31.310962748142188,46.07199897130196,56.14056674352434,11.368778088743772,7.873605898114684,0.0,4.430748772667191,41.17633928571428,39.05472252359824,6.145324181040296,124.77406147301912,75.22397697333562,0.0,14.793397209852165,32.87737135994544,21.055024311328047,54.431347398831164,28.770687968005447,41.892044185005865,55.66306655818069,5.721042416453988,76.47867103300894
2009-11-01,12.674730610991153,0.0,93.29877823348052,56.90137424219931,59.59890825045995,0.0,65.38696346985087,92.72061015502625,108.22018500459704,27.234165038087642,44.10755027588842,55.2078763202315,44.66128303083964,17.22500016364873,113.49157386964737,37.22789029104625,24.20634811063404,22.59409744824501,45.90708138498084,71.37311379835542,89.12208994777848,20.239703310598742,0.0,16.023063889296626,55.145241774795764,4.066131745812457,24.479479966729347,60.422293732855024,56.9541981456044,0.0,0.0,0.0,8.861497545334382,35.12099527310924,35.65865969545926,0.0,103.50575554011813,59.33158747192669,0.0,12.846897576976879,35.368081311456464,18.42314627241204,35.03626959005224,32.79858428352621,33.39220913297569,59.75593909922338,6.161122602335065,71.97992567812605
2009-11-08,27.76369562407586,0.0,93.29877823348052,60.01925776231982,68.22506602355284,10.64146967105074,50.130005326885666,88.19765356209814,110.52274213235444,32.574197398496985,49.008389195431576,52.007419721957206,39.407014438976155,18.690957624384794,115.29302742313384,35.06975172344937,31.881531657908244,40.053172749161604,49.139974440261184,69.61081469222319,70.40645105874499,23.275658807188552,0.0,40.31609623758506,61.08396011977377,5.69258444413744,16.509416721747698,57.40117904621228,57.767829547684464,0.0,39.36802949057342,10.612682926829269,5.021515275689484,42.38740808823528,16.980314140694887,6.145324181040296,107.75941672669832,69.92651380619931,16.74268010914875,13.236197503551937,28.39409344722561,15.791268233496034,60.68782411134049,40.85437691456774,43.10630633529589,47.47732147609529,0.0,73.10461201684677
2009-11-15,0.0,0.0,90.9367838478228,58.46031600225957,59.59890825045995,0.0,47.95043987789064,105.15874078557856,88.64844941865928,20.82612620559643,55.30946780627278,56.00799046980007,36.77988014304441,9.895212859968419,111.6901203161609,32.911613155852486,21.844753173011206,39.539670534428765,49.78655305131725,88.11495530661163,81.9923227519562,21.757681058893645,22.328773002952524,29.9786356638453,61.08396011977377,12.605008412018616,29.033801821004573,58.91173638953365,61.02235515600472,0.0,0.0,0.0,0.0,36.33206407563024,35.65865969545926,15.568154591968751,90.74477198037754,64.629050639063,0.0,11.289697870676651,31.38294538903883,10.001136547880822,46.92357534381997,22.44113661504425,38.24925773413579,58.93736459101484,6.821242881156679,77.60335737172964
2009-11-22,27.76369562407586,0.0,100.38476139045373,64.69608304250059,65.87247753998204,0.0,58.848267122865785,98.37430589618639,103.61507074908228,26.166158566005773,46.90802965848451,47.20673482454577,35.904168711067165,16.125532068096682,117.0944809766203,22.120920317868062,31.291132923502538,43.13418603755865,45.90708138498084,72.25426335142154,68.62400925978942,30.35955496589811,6.911286881866258,36.697985036776146,56.84201844478948,16.874446745121695,29.603092052788977,56.64590037455159,67.53140637264522,0.0,10.235687667549088,0.0,8.566114293823237,33.909926470588225,35.092649224102765,23.352231887953128,120.52040028643891,57.212602205072166,12.756327702208571,14.793397209852165,30.386661408434424,17.370395056845638,51.303109042576494,33.94941180224643,37.642126658990776,74.4902802469771,7.921443345859369,89.97490709765756
2009-11-29,38.024191832973464,0.0,101.5657585832826,67.81396656262109,51.756946638557324,0.0,55.94217985753908,104.02800163734653,103.61507074908228,40.05024270307006,53.90922811497473,40.00570747842862,29.774188687226427,13.92659587699259,131.50610940451205,34.53021708155015,26.567943048256872,34.40464838710035,43.32076694075657,76.66001111675212,57.92935846605601,33.39551046248792,0.0,46.51857258182891,55.993630109792626,0.0,21.633028807807328,40.78504826967714,74.04045758928572,0.0,0.0,0.0,16.54146208462418,47.23168329831932,29.432544510537802,9.422830410928455,121.93828734863231,70.98600643962658,0.0,15.182697136427223,36.36436529206087,15.791268233496034,45.04663233006717,23.01655037440436,38.24925773413579,45.02159795146967,16.50300697054035,87.72553442021612
2009-12-06,18.710316616225036,11.377567359928435,83.85080069084958,67.03449568259097,58.81471208926968,0.0,55.215658041207405,101.76652334088247,97.85867792968882,30.438184454333246,70.01198456490225,44.00627822627148,25.39563152734019,9.162234129600389,131.50610940451205,32.37207851395326,37.785519001965326,15.918568656718074,49.78655305131725,68.72966513915708,53.47325396866708,50.59925827649685,15.151667394860642,34.1136198933412,53.448465104802054,7.9289569043342905,25.04877019851375,39.27449092635577,52.88604113520409,0.0,0.0,0.0,15.06454582706845,65.39771533613444,29.432544510537802,6.145324181040296,110.59519085108512,58.27209483849943,0.0,18.686396475602734,26.401525486016794,30.529785251425665,48.17487068632183,25.893619171204904,23.070980855510477,41.74729991863551,0.0,101.22177048486476
2009-12-13,16.899640814654873,0.0,81.48880630519184,67.03449568259097,59.59890825045995,0.0,55.215658041207405,94.98208845149031,86.3458922909019,38.98223623098819,53.90922811497473,48.00684897411435,49.03984019072588,0.0,124.30029519056616,33.990682439650925,28.929537985879705,32.86414174290183,38.14813805230802,57.27472094929756,72.18889285770057,23.275658807188552,16.214942299763145,49.619810753950844,52.60007676980519,0.0,23.910189734944943,40.02976959801646,63.46324936224491,0.0,0.0,0.0,7.384581287778652,69.03092174369746,56.601047135649615,0.0,92.16265904257094,67.80752853934479,13.952233424290625,12.457597650401823,31.38294538903883,23.16052674246085,31.282383562546645,35.100239320966644,20.035325479785413,58.118790082806306,7.921443345859369,100.09708414614404
2009-12-20,29.574371425646024,0.0,103.92775296894033,77.94708800301275,58.81471208926968,0.0,70.47261618417261,93.85134930325827,95.55612080193143,22.96213914976017,35.70611212810015,24.003424487057174,27.147054391294684,0.0,180.14535534864663,32.37207851395326,26.567943048256872,0.0,31.03577333069127,49.344374971702514,66.84156746083386,0.0,0.0,25.32677840566241,35.63231006986803,0.0,48.38966970167429,66.46452310614053,60.20872375392465,0.0,0.0,0.0,8.861497545334382,121.10688025210081,33.394617810033274,17.20690770691283,134.6992709083729,74.16448433990836,35.877171662461606,12.457597650401823,32.37922936964324,28.950658428076064,49.4261660288237,20.714895336963924,10.321228277465213,31.1058313119245,7.701403252918831,86.6008480814954
2009-12-27,0.0,10.158542285650388,101.5657585832826,70.15237920271147,65.08828137879179,0.0,72.65218163316763,113.07391482320274,92.10228511029536,31.506190926415115,35.70611212810015,31.204451833174325,28.89847725524918,21.98936191104093,167.53518047424134,25.89766281116261,10.627177219302748,16.432070871450914,42.6741883297005,63.44276782076037,63.27668386292272,35.4194807935478,0.0,42.38358835233301,55.993630109792626,0.0,46.11250877453668,53.62478568790884,81.36314020800629,0.0,0.0,0.0,0.0,58.131302521008394,40.75275393766773,0.0,97.83420729134453,105.94926334272623,17.539950590536787,13.625497430126995,49.814199030220365,34.740790113691276,55.68264274133303,23.01655037440436,27.320898381525563,30.287256803715962,0.0,109.0945748559098
2010-01-03,30.929318118143307,0.0,111.91560945863176,79.3871962027704,65.77885545199172,0.0,56.47767646827668,85.55775931519122,90.01439064077452,8.937905245215084,78.41137373958355,46.839863888143775,47.46665950002427,17.6646216569387,104.3840167526945,31.248819829578608,31.10007665649149,10.908673622892898,52.40120147588904,64.45740988232876,76.72771206492266,25.223634894139447,7.041695377037519,35.74471544159192,67.5258467854658,11.686315969305909,23.105803292480715,45.88386819769759,58.5238964614418,0.0,14.796015210945523,0.0,7.908707566873943,29.991908381450727,38.681218386307535,16.807173201928542,97.81875569732006,58.00202201375743,12.857836941218189,19.767279736187692,29.33109722873192,22.145404980074666,41.00443537439131,35.250091755319154,22.254113590769915,56.368782796764016,13.863118955234869,70.84510703004749
2010-01-10,25.130070970991436,0.0,105.89864120816769,63.509756962216315,65.77885545199172,0.0,56.47767646827668,97.62359716733357,93.06572591673297,31.517876391021613,58.02441656729183,53.32538350342522,30.399995410127904,17.945012476890106,116.27586676249516,32.60746416999507,35.614603913078966,28.26338165931342,50.21781808106032,62.8658688975799,72.21431723757426,33.18899328176243,0.0,30.025560970937214,69.68092700202322,0.0,20.065566017154307,56.168183483388425,68.27787920501544,0.0,0.0,0.0,6.9201191210147,14.281861134024156,44.59084897310452,15.686694988466638,100.82856356492991,86.47574191142017,9.321931782383187,18.084958056512143,25.72111603134953,18.349049840633292,66.23793406632443,29.494974734042557,30.599406187308634,62.38145296175218,7.82595424892291,69.66435524621336
2010-01-17,27.06315335337539,0.0,111.91560945863176,61.922013038160905,72.28445654065024,0.0,64.00803333071356,95.42980846694405,82.38605245087837,28.695379997795794,51.751506668125145,49.722317050491085,45.33332648878722,7.850942958639422,107.02665008820577,32.60746416999507,27.087163539524845,15.371312832258177,54.58458487071775,64.45740988232876,64.99288551381684,20.245285901875082,0.0,31.45534958860089,71.11764714639484,18.395126988722264,24.929945657676562,49.04827290098707,61.450091284513896,0.0,10.073882696813973,0.0,0.0,28.563722268048313,53.72391442542713,24.65052069616186,111.36289110156437,75.92991972710064,11.572053247096369,24.814244775214338,24.367373082331135,6.327258565735619,31.5418733649164,19.423519946808515,27.122200938750833,66.13937181486978,4.919171242180115,75.56811416538399
2010-01-24,21.263906206223524,12.983057180049785,117.93257770909584,61.922013038160905,56.38187610170718,0.0,64.00803333071356,96.52670281713881,83.9117200888576,47.0416065537636,59.592644042083506,51.88415692225157,39.466660707885346,26.91751871533516,99.09875008167201,19.021020765830457,30.096848377249827,40.16375288428749,50.21781808106032,69.23203283657533,60.479490686468445,9.956697984528729,0.0,36.6979078533677,71.83600721858065,11.902729227996758,24.32189820261128,46.67496937351996,44.868320620438716,0.0,0.0,0.0,8.238237048827024,39.98921117526764,35.99502266503618,11.204782134619027,105.34327536634467,73.82075529023673,14.465066558870461,23.552503515457676,31.587335477095916,19.614501553780418,49.678450549743324,25.898026595744685,29.208524087885515,63.1330367323757,9.391145098707492,81.47187308455462
2010-01-31,26.418792559247407,12.117520034713134,120.33936500928147,53.98329341788387,70.83876740983723,0.0,67.773211761932,91.04223106616502,82.38605245087837,18.346226555967803,54.88796161770849,54.766610084598874,44.799993235977965,21.870483956209817,103.06270008493888,44.83526323374322,26.585549399904014,19.338103240582868,50.21781808106032,70.02780332894976,80.33842792680137,11.948037581434475,0.0,32.885138206264564,70.39928707420903,8.656530347634007,14.59313892156677,45.88386819769759,70.22867575373016,0.0,9.129456193987663,0.0,20.10129839913794,29.991908381450727,20.41508748166231,0.0,99.32365963112498,69.60242641650892,0.0,22.290762255701015,31.587335477095916,20.87995326692754,48.88990371562041,30.93375398936171,19.472349391923675,60.87828542050514,9.391145098707492,79.11036951688637
2010-02-07,0.0,9.347801169635845,95.06809835733236,57.952653228022385,63.610321755772205,0.0,58.736783527007745,94.3329141167493,76.28338189896145,19.757474752580713,42.34214181937512,46.11925059755695,29.866662157318643,18.78618493674433,103.06270008493888,30.569497659370377,22.57263628293737,25.784137654110488,45.30520544269573,66.84472135945204,54.160737928180694,21.240955700327955,0.0,32.885138206264564,68.96256692983742,10.387836417160807,21.28166092728487,45.88386819769759,51.69610854094026,0.0,8.49983852543679,0.0,12.522120314217076,34.276466721657975,29.01091378973065,9.337318445515857,100.82856356492991,68.54784419807697,12.536391017687734,17.664377636593258,32.038583126768714,11.389065418324114,53.621184720357874,28.775585106382984,31.990288286731754,62.38145296175218,11.850730719797548,102.72540519356886
2010-02-14,21.263906206223524,0.0,111.91560945863176,59.540397152077794,58.55040979792669,0.0,39.15785568467183,86.65465366538598,85.43738772683683,45.159942291613056,41.55802808197929,40.35434427286233,27.199995893272334,22.43126559611263,124.20376676902892,35.32475285082799,43.64043014701225,33.22186966971928,42.030130350452666,74.00665579082191,75.82503309945298,15.598826842428343,25.148912060848282,30.978753382712995,68.96256692983742,8.007290571561455,27.36213547793769,59.33258818667791,66.3270826563007,0.0,0.0,0.0,10.54494342249859,37.132838948462805,31.159870366747736,12.698753085901565,115.87760290297915,82.25741303769236,23.786998341253646,25.234825195133222,32.038583126768714,19.614501553780418,46.524263213251686,30.21436436170213,33.38117038615487,46.598193778658256,0.0,82.65262486838874
2010-02-21,28.99623573575935,5.539437730154575,108.30542850835332,54.77716537991157,65.77885545199172,0.0,59.48981921325143,93.23601976655453,96.11706119269144,23.050387211344162,43.12625555677096,49.722317050491085,36.79999444383904,6.168598038930974,93.8134834106495,40.080008042285606,10.03228279241661,31.238474465556937,46.94274298881726,79.5770492374429,76.72771206492266,20.577175834692707,0.0,29.54896476504932,67.5258467854658,7.141637536798055,29.794325298198817,56.168183483388425,61.450091284513896,9.10545852661291,0.0,12.075208135826943,0.0,34.276466721657975,48.88876212713869,5.602391067309513,129.42173830722345,67.49326197964501,0.0,22.290762255701015,23.916125432658337,11.389065418324114,52.83263788623496,25.17863696808511,33.38117038615487,56.368782796764016,14.086717648061237,80.29112130072049
2010-02-28,35.43984367703921,9.347801169635845,91.45791740705391,55.571037341939274,61.4417880595527,0.0,55.724640782032985,85.55775931519122,97.64272883067066,14.11248196612908,39.98980060718761,47.5604771787306,41.599993719122395,9.813678698299277,96.45611674616075,31.92814199978684,29.093620098008167,16.858859235379935,48.580280534938794,72.41511480607305,72.21431723757426,26.551194625409945,0.0,21.446829264955152,66.0891266410942,8.223703830252306,31.010420208329382,64.07919524161214,58.5238964614418,0.0,6.925794354059606,0.0,10.54494342249859,32.84828060825556,38.14397924205326,14.93970951282537,117.38250683678406,73.82075529023673,0.0,19.767279736187692,30.23359252807752,15.818146414339045,48.88990371562041,25.898026595744685,36.16293458500111,55.6171990261405,17.664296733283138,94.46014270672998
2010-03-07,14.175937470815681,0.0,92.66131105714673,53.98329341788387,54.93618697089418,0.0,39.910891370915515,88.8484423657755,100.69406410662913,23.5208032768818,52.53562040552098,49.722317050491085,36.79999444383904,15.141104277376026,89.84953340738262,35.32475285082799,18.058109026349896,17.354708036420522,46.396897140110084,73.21088529844748,58.67413275552909,22.900405364416077,10.562543065556278,37.65110026514349,68.2442068576516,6.059571243343804,23.105803292480715,65.6613975932569,53.646905089654986,0.0,14.16639754239465,0.0,21.08988684499718,34.276466721657975,18.803370048899495,0.0,103.83837143253974,63.2749331059172,0.0,22.7113426756199,25.72111603134953,11.389065418324114,49.678450549743324,43.16337765957448,30.599406187308634,66.13937181486978,0.0,76.74886594921811
2010-03-14,9.665411911919783,0.0,101.08506660779643,56.36490930396698,57.827565232520186,0.0,57.98374784076405,98.72049151752833,93.06572591673297,14.582898031666716,53.319734142916815,46.11925059755695,33.59999492698347,28.03908199514079,91.17085007513825,49.590518425200834,10.03228279241661,37.188660078043974,46.94274298881726,74.80242628319634,70.40895930663491,12.943707379887348,0.0,21.923425470843043,64.65240649672258,15.36534136705036,23.105803292480715,53.00377878009893,63.400887833228616,17.560527158467757,18.573721222250764,0.0,5.602001193202376,35.704652835060394,38.681218386307535,13.072245823722199,114.37269896917422,58.00202201375743,12.857836941218189,25.234825195133222,22.111134833967142,13.287242988044799,36.27315436965386,23.020468085106387,36.85837563471267,51.10769640239938,0.0,73.20661059771574
2010-03-21,13.531576676687695,0.0,95.06809835733236,49.22006164571764,57.10472066711368,0.0,47.441248233352404,88.8484423657755,108.32240229652527,20.698306883655984,47.83093798114597,45.39863730697012,43.19999347755018,21.029311496355593,104.3840167526945,35.32475285082799,18.559723165970727,27.271684057232246,48.03443468623161,77.18973776031962,50.550022066301985,18.58583623778696,5.532760653386623,28.595772353273535,62.49732628016516,8.223703830252306,27.36213547793769,43.510564670230465,61.450091284513896,10.406238316129041,0.0,0.0,10.54494342249859,29.991908381450727,35.99502266503618,0.0,112.8677950353693,78.03908416396455,7.714702164730912,28.59946855448432,25.269868381676734,37.33082553784015,54.409731554480786,31.653143617021282,28.513083038173953,54.11403148489346,8.496750327402017,73.20661059771574
2010-03-28,45.74961638308697,0.0,104.69524755807487,56.36490930396698,65.05601088658521,0.0,75.30356862436889,86.65465366538598,102.21973174460835,19.757474752580713,33.71689070802093,30.986371495233573,28.79999565170012,18.505794116792924,132.13166677556268,31.248819829578608,34.6113756338373,12.396220026014658,50.21781808106032,79.5770492374429,54.160737928180694,0.0,0.0,25.25959891205829,61.06060613579355,17.313060695268014,38.91503712417805,39.55505879111861,47.794515443510804,0.0,0.0,0.0,16.146944615700967,48.55832785568213,40.29293581907035,30.626404501292008,105.34327536634467,86.47574191142017,0.0,21.44960141586324,39.25854552153349,27.83993768923672,40.21588854026841,12.949013297872343,31.294847237020193,50.35611263177586,8.943947713054754,82.65262486838874
2010-04-04,19.330823823839566,0.0,102.28846025788924,52.39554949382846,63.610321755772205,6.32522319345347,57.98374784076405,96.52670281713881,109.8480699345045,33.869956718709794,48.61505171854181,41.07495756344916,48.53332600564279,12.617586897813355,117.59718343025078,36.68339719124445,22.07102214331654,0.0,49.12612638364597,63.66163938995433,77.63039103039233,17.258276506516463,10.311053944947796,28.595772353273535,65.37076656890838,0.0,14.59313892156677,51.42157642845419,56.57309991272707,18.536112000604856,5.981367851233297,0.0,11.204002386404753,25.70735004124348,36.53226180929045,10.084303921157124,109.85798716775945,88.58490634828408,8.679039935322278,31.54353149391653,28.879849579059123,10.75633956175055,54.409731554480786,31.653143617021282,34.772052485577994,57.871950338011054,0.0,81.47187308455462
2010-04-11,22.552627794479495,0.0,99.88167295770361,51.60167753180075,54.21334240548767,0.0,55.724640782032985,81.17018191441218,109.8480699345045,11.289985572903264,58.808530304687665,53.32538350342522,35.73332793822052,14.019540997570395,85.88558340411574,43.47661889332676,32.10330493573315,6.446034413527622,42.57597619915984,62.07009840520547,57.77145379005941,20.90906576751033,0.0,33.36173441215246,63.215686352350964,4.761091691198703,34.05065748365579,35.59955291200675,54.622303364012346,0.0,23.610662570657748,0.0,0.0,29.991908381450727,27.93643550122211,17.55415867756981,124.90702650580869,65.3840975427811,12.536391017687734,35.7493356931054,28.879849579059123,0.0,63.87229356395571,33.81131250000001,33.38117038615487,67.64253935611681,9.83834248436023,69.66435524621336
2010-04-18,0.0,0.0,92.66131105714673,49.22006164571764,46.26205218601615,5.36035863851989,51.20642666457085,85.55775931519122,88.48872300279528,22.10955508026889,54.88796161770849,62.69335628105398,35.73332793822052,7.009770498785198,87.20690007187136,42.79729672311853,23.0742504225582,15.371312832258177,47.48858883752444,77.98550825269405,74.01967516851361,26.551194625409945,0.0,24.306406500282506,65.37076656890838,3.6790253977444527,20.67361347221959,34.808451736184374,59.49929473579917,7.479483789717748,0.0,0.0,15.487885651794805,22.85097781443865,29.548152933984923,5.975883805130148,102.33346749873483,68.54784419807697,14.465066558870461,28.59946855448432,28.428601929386325,17.08359812748617,52.04409105211206,30.93375398936171,31.294847237020193,67.64253935611681,3.8011777780482703,73.20661059771574
2010-04-25,9.021051117791798,6.924297162693219,97.47488565751799,50.01393360774535,60.718943494146195,0.0,44.42910548837765,84.46086496499646,102.21973174460835,31.988292456559247,47.83093798114597,54.766610084598874,37.86666094945756,15.141104277376026,87.20690007187136,49.590518425200834,42.13558772814976,21.817347245785797,44.75935959398855,66.84472135945204,60.479490686468445,18.253946304969336,0.0,25.25959891205829,59.623885991421936,6.925224278107205,24.929945657676562,45.09276702187521,65.35168438194334,7.804678737096781,7.240603188335043,14.175244333362063,10.874472904451672,34.276466721657975,39.21845753056181,0.0,93.30404389590528,59.056604232189386,9.643377705913641,25.234825195133222,27.977354279713524,7.592710278882742,52.83263788623496,31.653143617021282,45.20366823125139,60.12670164988162,0.0,85.01412843605699
2010-05-02,17.397741441455608,0.0,91.45791740705391,52.39554949382846,50.59911957845516,10.72071727703978,42.923034115890275,81.17018191441218,119.00207576237987,18.346226555967803,41.55802808197929,58.36967653753301,35.73332793822052,12.617586897813355,91.17085007513825,50.949162765617295,25.582321120662353,18.84225443954228,40.39259280433113,59.68278692808218,62.2848486174078,16.594496640881214,0.0,42.41706232402241,59.623885991421936,13.63403529752356,27.36213547793769,49.04827290098707,60.47469301015653,0.0,0.0,0.0,18.783180471325615,25.70735004124348,38.14397924205326,11.951767610260296,133.93645010863824,61.16576866905329,10.28626955297455,20.18786015610658,19.854896585603147,0.0,42.581529042637136,52.515442819148944,48.680873479809186,56.368782796764016,4.024776470874639,76.74886594921811
2010-05-09,34.795482882911216,0.0,95.06809835733236,58.74652519005009,54.93618697089418,0.0,57.23071215452036,85.55775931519122,117.47640812440063,39.514949505161425,45.47859676895846,54.766610084598874,47.999992752833535,9.813678698299277,91.17085007513825,67.93221702082306,20.56617972445405,39.6679040832469,37.66336356079525,69.23203283657533,52.35537999724134,17.590166439334087,0.0,23.829810294394612,52.44028526956387,0.0,15.809233831697332,38.763957615296235,85.83504814344798,0.0,12.592353371017467,0.0,8.567766530780105,49.98651396908455,27.39919635696784,0.0,114.37269896917422,70.65700863494087,0.0,23.97308393537656,23.013630133312738,12.021791274897675,57.563918890972424,32.37253324468086,41.72646298269359,54.86561525551698,0.0,75.56811416538399
2010-05-16,0.0,0.0,95.06809835733236,53.18942145585616,54.93618697089418,5.896394502371879,38.40481999842814,88.8484423657755,106.79673465854604,42.80786196392487,55.672075355104326,67.01703602457494,38.93332745507609,9.533287878347869,85.88558340411574,59.78035097832429,29.093620098008167,9.916976020811726,37.117517712088066,59.68278692808218,52.35537999724134,6.637798656352486,0.0,23.829810294394612,61.77896620797935,0.0,39.52308457924333,49.83937407680945,28.286549956363537,0.0,0.0,8.400144790140482,8.897296012733186,27.135536154645898,51.57495784841005,11.204782134619027,85.77952422688067,64.32951532434916,29.251579041271377,18.50553847643103,26.62361133069513,0.0,55.1982783886037,61.14811835106384,49.37631452952075,66.8909555854933,10.285539870012967,81.47187308455462
2010-05-23,18.042102235583595,0.0,104.69524755807487,50.80780556977305,52.04480870926817,0.0,45.93517686086503,88.8484423657755,119.00207576237987,20.227890818118347,52.53562040552098,72.06132905868273,39.466660707885346,0.0,88.52821673962698,45.51458540395145,28.592005958387336,21.817347245785797,40.39259280433113,66.04895086707762,58.67413275552909,11.284257715799226,0.0,16.68086720607623,56.75044570267871,0.0,31.618467663394664,52.212677604276564,52.67150681529762,0.0,0.0,8.925153839524262,9.226825494686267,32.84828060825556,22.026804914425124,27.638462598726935,85.77952422688067,61.16576866905329,0.0,18.084958056512143,24.818620732003932,14.552694701191923,53.621184720357874,37.408260638297875,45.899109280962946,66.13937181486978,18.782290197414984,80.29112130072049
2010-05-30,33.50676129465525,0.0,85.44094915658984,47.63231772166223,51.32196414386166,0.0,48.94731960583979,85.55775931519122,152.5667637979229,19.757474752580713,53.319734142916815,59.09028982811984,45.33332648878722,0.0,99.09875008167201,50.949162765617295,22.57263628293737,19.338103240582868,32.75075092243065,56.499704958584466,57.77145379005941,19.913395969057458,0.0,39.55748508869506,51.72192519737806,0.0,18.849471107023742,61.705891714145025,54.622303364012346,0.0,13.536779873843777,52.500904938378014,7.579178084920862,21.422791701036235,50.50047955990151,18.301144153211077,85.77952422688067,47.4561998294379,0.0,31.122951073997644,33.39232607578711,27.83993768923672,67.02648090044734,71.93896276595746,45.899109280962946,45.84661000803473,8.943947713054754,83.83337665222287
2010-06-06,0.0,17.310742906733047,86.64434280668266,53.98329341788387,43.37067392439014,0.0,57.23071215452036,87.75154801558074,111.37373757248372,30.57704425994634,44.694483031562626,48.281090469317434,38.399994202266825,14.019540997570395,103.06270008493888,45.51458540395145,27.588777679145675,16.858859235379935,41.484284501745485,63.66163938995433,57.77145379005941,26.551194625409945,17.10126020137683,16.204271000188335,57.468805774864514,18.17871373003141,35.266752393786355,50.63047525263182,73.15487057680225,0.0,13.536779873843777,0.0,0.0,42.84558340207247,37.60674009779899,22.409564269238054,129.42173830722345,105.45822184319533,19.286755411827283,35.7493356931054,9.024952993455976,0.0,48.10135688149751,53.95422207446809,41.72646298269359,52.610863943646414,11.179934641318443,75.56811416538399
2010-06-13,28.99623573575935,6.404974875491228,89.05113010686829,51.60167753180075,52.76765327467467,0.0,47.441248233352404,83.3639706148017,97.64272883067066,16.46456229381726,43.91036929416679,33.86882465758089,34.133328179792734,0.0,99.09875008167201,47.55255191457614,29.595234237628997,18.346405638501693,37.66336356079525,63.66163938995433,46.939306204423275,21.904735565963204,0.0,5.719154470654707,57.468805774864514,5.193918208580404,20.065566017154307,41.92836231858573,60.47469301015653,0.0,7.870220856885917,0.0,18.783180471325615,24.279163927841065,40.29293581907035,16.06018772628727,150.4903933804924,80.14824860082845,0.0,26.496566454889884,33.84357372545991,11.389065418324114,34.69606070140804,33.81131250000001,36.16293458500111,72.90362575048147,5.5899673206592215,80.29112130072049
2010-06-20,18.68646302971158,0.0,90.25452375696109,50.01393360774535,44.81636305520314,0.0,49.70035529208347,76.78260451363315,106.79673465854604,16.934978359354897,39.205686869791776,28.824531623473092,31.99999516855569,8.411724598542238,101.74138341718326,48.23187408478437,20.56617972445405,49.584880104058634,42.030130350452666,62.07009840520547,60.479490686468445,14.271267111157846,6.2872280152120705,28.119176147385645,53.158645341749676,6.708811019416355,21.28166092728487,41.13726114276335,43.89292234608135,0.0,14.16639754239465,0.0,11.204002386404753,25.70735004124348,18.266130904645227,36.22879556860152,139.9560658438579,95.96698187730775,0.0,27.758307714646545,24.818620732003932,22.778130836648227,49.678450549743324,31.653143617021282,32.685729336443316,57.871950338011054,22.359869282636886,76.74886594921811
2010-06-27,0.0,0.0,95.06809835733236,61.128141076133204,49.87627501304866,6.646844711764664,53.46553372330192,87.75154801558074,86.96305536481606,23.991219342419434,31.364549495833423,33.86882465758089,27.199995893272334,22.43126559611263,100.42006674942763,55.70441795707491,27.588777679145675,35.70111367492221,40.93843865303831,63.66163938995433,40.620553446135524,15.266936909610719,0.0,33.83833061804035,65.37076656890838,7.574464054179756,28.578230388068256,53.00377878009893,39.9913292486519,0.0,8.49983852543679,0.0,24.714711146481072,42.84558340207247,36.53226180929045,37.34927378206343,94.8089478297102,83.3119952561243,0.0,28.178888134565433,36.099811973823904,11.389065418324114,45.735716379128775,39.5664295212766,41.72646298269359,61.629869191128655,0.0,77.92961773305224
